S-No.,variant 1,variant 2,variant 3,variant 4,variant 5,variant 6
1,136.139,132.15,152.836,1.082,1.048,2
2,126.749,132.303,151.796,1.241,1.196,4
3,135.163,126.202,139.819,0.958,1.204,1
4,127.789,122.212,146.732,1.149,1.263,5
5,122.261,132.563,148.193,1.204,1.383,5
6,126.377,130.684,142.029,1.391,1.395,2
7,124.859,121.626,138.72,1.172,1.297,1
8,130.718,127.575,144.051,1.332,1.269,5
9,130.066,126.511,151.845,1.044,1.226,1
10,135.273,123.704,153.694,1.206,1.317,5
11,125.722,125.641,139.689,1.312,1.02,3
12,129.191,125.232,136.08,0.984,1.323,1
13,137.51,120.781,138.542,1.394,1.298,1
14,132.278,126.623,145.359,1.137,1.277,2
15,124.883,121.349,147.53,1.001,1.115,4
16,127.274,126.26,144.542,0.993,1.186,5
17,124.964,120.571,143.59,1.122,1.126,3
18,123.631,134.042,146.54,1.052,1.242,3
19,121.747,124.961,139.278,1.352,1.215,5
20,129.679,121.656,136.239,1.125,1.29,2
21,127.766,120.747,139.202,0.981,1.209,0
22,123.512,132.087,153.071,1.222,1.006,2
23,129.087,127.825,139.22,1.185,1.149,5
24,125.248,126.151,152.181,1.127,1.362,2
25,129.761,125.531,152.572,1.276,1.357,0
26,132.051,132.285,147.805,1.18,1.214,2
27,125.418,128.082,148.75,0.994,1.156,0
28,136.77,122.38,135.267,1.205,1.088,3
29,137.989,123.674,138.378,1.14,1.26,1
30,136.431,123.688,148.725,1.312,1.06,0
31,134.106,120.682,152.804,1.067,1.107,1
32,122.387,120.713,137.224,1.314,1.36,5
33,130.649,125.43,147.171,1.39,1.222,4
34,125.911,124.44,150.663,1.37,1.183,4
35,130.193,126.317,148.928,1.047,1.072,3
36,137.096,133.202,140.342,1.157,1.14,0
37,132.568,121.403,150.223,1.124,1.378,0
38,133.69,127.138,138.214,1.132,1.274,2
39,125.896,124.758,135.504,1.357,1.245,4
40,122.953,127.777,144.333,1.008,1.092,2
41,136.985,122.251,151.242,1.018,1.316,5
42,125.74,126.022,147.892,1.277,1.211,4
43,134.909,134.515,146.611,0.992,1.276,5
44,125.036,120.107,137.312,1.022,1.216,4
45,123.263,129.146,138.116,1.123,1.143,1
46,121.994,122.818,150.711,1.129,1.358,2
47,125.035,130.389,150.81,1.153,1.228,1
48,132.513,124.69,136.103,1.383,1.194,1
49,132.732,128.988,149.489,0.967,1.268,1
50,122.408,120.737,139.115,1.179,1.178,1
51,130.832,130.934,150.528,1.272,1.015,5
52,126.112,125.131,145.594,1.391,1.388,5
53,134.975,128.512,146.548,1.289,1.296,1
54,123.723,130.813,147.281,1.11,1.209,2
55,137.994,129.047,151.185,1.155,1.254,2
56,134.425,129.559,153.286,1.097,1.229,2
57,122.747,132.214,147.133,1.263,1.234,1
58,131.41,132.153,137.302,1.226,1.004,2
59,134.198,123.565,135.659,1.284,1.367,4
60,134.35,133.089,148.722,1.157,1.251,2
61,136.06,130.132,137.558,1.08,1.096,3
62,136.574,120.149,139.109,1.134,1.325,1
63,135.581,121.596,144.052,1.26,1.089,2
64,134.611,130.948,136.678,1.017,1.126,5
65,125.135,125.014,136.557,1.076,1.31,4
66,125.229,134.618,146.887,1.252,1.048,2
67,125.199,134.051,137.96,1.038,1.071,2
68,135.014,120.811,151.96,1.12,1.098,3
69,134.981,121.03,137.865,1.179,1.345,5
70,129.323,123.085,152.746,1.317,1.079,1
71,129.544,133.47,141.573,1.12,1,3
72,137.782,127.981,137.114,1.007,1.322,0
73,122.159,124.136,142.852,1.083,1.108,5
74,134.298,130.551,146.416,1.356,1.39,2
75,130.051,127.995,153.887,1.09,1.077,0
76,131.246,131.348,145.564,1.146,1.376,3
77,132.994,123.886,147.276,1.256,1.172,1
78,133.78,125.553,137.529,1.184,1.071,5
79,132.026,130.615,149.617,0.987,1.227,5
80,122.76,129.919,153.223,1.372,1.163,0
81,122.35,133.385,138.799,1.201,1.269,4
82,126.448,124.983,144.75,1.365,1.147,2
83,122.215,131.695,151.036,1.039,1.338,5
84,130.984,133.132,137.19,1.333,1.317,4
85,129.632,128.251,136.065,1.348,1.238,0
86,131.486,122.855,139.324,1.251,1.039,1
87,123.014,127.086,138.951,1.11,1.333,5
88,128.02,122.091,144.796,1.056,1.119,0
89,130.888,133.588,152.477,1.094,1.383,0
90,126.215,125.44,137.731,1.064,1.294,1
91,135.894,125.436,140.683,1.037,1.013,3
92,129.381,122.735,152.201,0.96,1.167,4
93,128.662,132.205,143.611,1.241,1.308,4
94,121.688,126.786,139.247,1.355,1.067,2
95,125.229,127.451,148.03,0.976,1.095,0
96,135.402,133.777,142.727,1.145,1.034,3
97,134.795,125.464,142.43,1.214,1.312,2
98,125.445,132.362,147.365,1.328,1.38,0
99,121.618,122.831,150.128,1.379,1.287,0
100,137.463,122.529,151.369,1.309,1.266,3
101,130.618,132.763,141.778,1.223,1.317,2
102,132.136,134.014,135.643,1.117,1.352,4
103,122.301,125.996,143.327,1.225,1.055,2
104,133.125,126.708,137.852,1.019,1.27,0
105,136.955,130.409,139.619,1.19,1.233,3
106,137.797,120.903,150.905,1.225,1.125,0
107,122.859,130.809,138.68,1.041,1.305,1
108,129.077,132.815,153.396,1.148,1.055,1
109,128.795,129.702,138.964,0.977,1.224,2
110,128.325,125.046,147.372,1.02,1.291,4
111,135.641,126.723,146.356,1.393,1.118,5
112,128.375,131.923,140.314,1.032,1.049,0
113,126.278,120.349,145.712,1.18,1.339,0
114,121.431,130.283,151.522,1.144,1.018,3
115,132.304,134.35,152.671,1.183,1.091,3
116,131.814,125.03,145.277,1.113,1.345,4
117,130.193,128.809,152.098,1.176,1.253,0
118,126.444,123.861,136.694,1.017,1.016,1
119,126.135,129.878,150.754,0.985,1.368,1
120,126.02,124.253,138.32,1.319,1.391,0
121,132.621,125.52,140.244,1.15,1.121,1
122,133.799,134.441,145.078,0.963,1.356,5
123,125.614,132.943,135.455,1.362,1.319,0
124,131.748,120.742,153.282,1.345,1.143,4
125,126.088,130.117,147.763,0.985,1.101,1
126,123.974,126.63,152.053,1.287,1.072,2
127,131.819,127.64,153.631,1.286,1.127,2
128,125.125,128.207,136.052,1.26,1.254,3
129,134.129,122.166,153.984,1.242,1.037,5
130,134.774,120.266,151.075,1.391,1.22,3
131,122.035,123.078,148.243,1.242,1.355,4
132,124.359,134.108,138.963,1.231,1.226,5
133,128.748,124.103,148.17,1.043,1.132,3
134,134.598,123.919,149.382,1.186,1.033,2
135,126.763,134.664,150.87,1.278,1.224,4
136,125.34,131.712,150.799,1.035,1.26,5
137,136.676,121.18,150.411,1.347,1.251,5
138,131.884,120.551,136.394,1.052,1.393,0
139,131.644,127.297,139.933,1.178,1.257,3
140,121.686,133.003,149.456,1.212,1.085,4
141,131.546,122.907,138.571,1.053,1.038,3
142,126.754,127.057,146.584,1.376,1.171,1
143,134.16,128.331,142.294,1.221,1.213,0
144,128.045,132.236,146.521,1.109,1.184,3
